Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Liverpool,27,19,2,64,25,39,63,2.33,L W W W W,Mohamed Salah ,15
2,Manchester City,27,19,3,62,27,35,62,2.3,W D W W W,Erling Haaland ,18
3,Arsenal,27,19,4,68,23,45,61,2.26,W W W W W,Bukayo Saka ,13
4,Aston Villa,27,17,6,59,37,22,55,2.04,W L W W W,Ollie Watkins ,16
5,Tottenham,26,15,6,55,39,16,50,1.92,W D W L W,Son Heungmin ,13
6,Manchester Utd,27,14,11,37,39,-2,44,1.63,W W W L L,"Scott McTominay, Rasmus Højlund ",7
7,West Ham,27,12,9,43,47,-4,42,1.56,L L L W W,Jarrod Bowen ,14
8,Newcastle Utd,27,12,11,57,45,12,40,1.48,D W D L W,Alexander Isak ,11
9,Brighton,27,10,8,49,44,5,39,1.44,W L W D L,João Pedro ,8
10,Wolves,27,11,11,40,43,-3,38,1.41,W L W W L,Hwang Heechan ,10
11,Chelsea,26,10,10,44,43,1,36,1.38,L L W D D,Cole Palmer ,10
12,Fulham,27,10,12,39,42,-3,35,1.3,D W L W W,"Raúl Jiménez, Bobby Reid... ",5
13,Bournemouth,26,8,11,35,47,-12,31,1.19,D L D L W,Dominic Solanke ,14
14,Crystal Palace,27,7,13,32,47,-15,28,1.04,L L D W L,"Odsonne Édouard, Eberechi Eze... ",6
15,Brentford,27,7,15,39,50,-11,26,0.96,W L L L D,Bryan Mbeumo ,7
16,Everton,27,8,12,29,37,-8,25,0.93,D L D D L,Abdoulaye Doucouré ,6
17,Nott'ham Forest,27,6,15,34,49,-15,24,0.89,D L W L L,Chris Wood ,8
18,Luton Town,26,5,16,37,54,-17,20,0.77,D L L L L,Elijah Adebayo ,9
19,Burnley,27,3,20,25,60,-35,13,0.48,D L L L L,"Lyle Foster, Zeki Amdouni ",4
20,Sheffield Utd,27,3,20,22,72,-50,13,0.48,L W L L L,"Oliver McBurnie, Cameron Archer ",4
